产品ID,SKU,产品名称,数据类型,项目,值
4,PROD-S004,Smart Fitness Cross Trainer,核心卖点,Digital Display,Real-time Tracking
4,PROD-S004,Smart Fitness Cross Trainer,核心卖点,Ergonomic Design,Comfortable Grip
4,PROD-S004,Smart Fitness Cross Trainer,核心卖点,Silent Operation,Smooth Movement
4,PROD-S004,Smart Fitness Cross Trainer,核心卖点,12 Resistance Levels,Customizable Workout
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Type,Elliptical Trainer
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Material,Steel & ABS
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Color,White/Gray
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Weight,35KG
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Max Load,150KG
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Flywheel,8KG
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Display,LCD Screen
4,PROD-S004,Smart Fitness Cross Trainer,产品规格,Power,Battery Powered
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Main Frame,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Handlebars,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Pedals,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Console,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Resistance Knob,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Base Stabilizers,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,Assembly Tools,
4,PROD-S004,Smart Fitness Cross Trainer,包装清单,User Manual,
21,PROD-S004,Smart Fitness Cross Trainer,功能亮点,Full Body Workout,Engages multiple muscle groups
21,PROD-S004,Smart Fitness Cross Trainer,功能亮点,Low Impact,Easy on joints
21,PROD-S004,Smart Fitness Cross Trainer,功能亮点,Heart Rate Monitor,Built-in pulse sensors
21,PROD-S004,Smart Fitness Cross Trainer,功能亮点,Compact Design,Fits small spaces
21,PROD-S004,Smart Fitness Cross Trainer,功能亮点,Transport Wheels,Easy to move
21,PROD-S004,Smart Fitness Cross Trainer,适配尺寸,Dimensions,120 x 60 x 150 CM
21,PROD-S004,Smart Fitness Cross Trainer,适配尺寸,Stride Length,35 CM
21,PROD-S004,Smart Fitness Cross Trainer,适配尺寸,Pedal Size,40 x 15 CM

5,PROD-S005,Heavy Duty Weight Bench,核心卖点,Professional Grade,Commercial Quality
5,PROD-S005,Heavy Duty Weight Bench,核心卖点,Adjustable Positions,Multiple Angles
5,PROD-S005,Heavy Duty Weight Bench,核心卖点,Non-slip Surface,Safe Workout
5,PROD-S005,Heavy Duty Weight Bench,核心卖点,500KG Capacity,Ultra Strong
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Type,Weight Bench
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Material,Steel Frame
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Color,Black
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Weight,22KG
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Max Load,500KG
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Pad Thickness,5CM
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Adjustment,7 Positions
5,PROD-S005,Heavy Duty Weight Bench,产品规格,Incline Range,0-90 Degrees
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Bench Frame,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Back Pad,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Seat Pad,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Leg Developer,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Spotter Platform,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Bar Holder,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Adjustment Pin,
5,PROD-S005,Heavy Duty Weight Bench,包装清单,Warranty Card,
22,PROD-S005,Heavy Duty Weight Bench,功能亮点,Flat Bench Press,Standard exercises
22,PROD-S005,Heavy Duty Weight Bench,功能亮点,Incline Press,Upper chest target
22,PROD-S005,Heavy Duty Weight Bench,功能亮点,Decline Press,Lower chest focus
22,PROD-S005,Heavy Duty Weight Bench,功能亮点,Leg Curl,Hamstring training
22,PROD-S005,Heavy Duty Weight Bench,功能亮点,Preacher Curl,Arm isolation
22,PROD-S005,Heavy Duty Weight Bench,适配尺寸,Overall Size,130 x 60 x 110 CM
22,PROD-S005,Heavy Duty Weight Bench,适配尺寸,Pad Size,90 x 30 CM
22,PROD-S005,Heavy Duty Weight Bench,适配尺寸,Min Height,50 CM

6,PROD-S006,Adjustable Dumbbell Set,核心卖点,Space Saving Design,Compact Storage
6,PROD-S006,Adjustable Dumbbell Set,核心卖点,Quick Lock System,5-25KG Range
6,PROD-S006,Adjustable Dumbbell Set,核心卖点,Premium Grip,Anti-slip Coating
6,PROD-S006,Adjustable Dumbbell Set,核心卖点,Durable Construction,Long Life
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Type,Adjustable Dumbbells
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Material,Steel + Plastic
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Color,Black/Red
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Weight Range,2.5-25KG each
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Increment,2.5KG
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Total Weight,50KG set
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Grip Length,15CM
6,PROD-S006,Adjustable Dumbbell Set,产品规格,Coating,Rubber
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Left Dumbbell,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Right Dumbbell,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Weight Plates x 40,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Lock Collars x 4,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Storage Rack,
6,PROD-S006,Adjustable Dumbbell Set,包装清单,Exercise Guide,
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Quick Adjust,2 second change
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Compact Storage,60% less space
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Versatile,Full body workout
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Safe Lock,No accidental drops
23,PROD-S006,Adjustable Dumbbell Set,功能亮点,Home Friendly,Perfect for apartments
23,PROD-S006,Adjustable Dumbbell Set,适配尺寸,Single Dumbbell,25 x 15 x 15 CM
23,PROD-S006,Adjustable Dumbbell Set,适配尺寸,Storage Rack,60 x 30 x 50 CM
23,PROD-S006,Adjustable Dumbbell Set,适配尺寸,Bar Diameter,30MM

7,PROD-S007,Treadmill Running Machine,核心卖点,Powerful Motor,3.0HP Peak
7,PROD-S007,Treadmill Running Machine,核心卖点,Shock Absorption,Joint Protection
7,PROD-S007,Treadmill Running Machine,核心卖点,LED Display,Clear Metrics
7,PROD-S007,Treadmill Running Machine,核心卖点,Foldable Design,Space Saving
7,PROD-S007,Treadmill Running Machine,产品规格,Type,Treadmill
7,PROD-S007,Treadmill Running Machine,产品规格,Running Surface,120 x 45 CM
7,PROD-S007,Treadmill Running Machine,产品规格,Speed Range,0.8-16 KM/H
7,PROD-S007,Treadmill Running Machine,产品规格,Incline,0-15%
7,PROD-S007,Treadmill Running Machine,产品规格,Motor Power,1.5HP Continuous
7,PROD-S007,Treadmill Running Machine,产品规格,Weight Capacity,130KG
7,PROD-S007,Treadmill Running Machine,产品规格,Console,6 Inch LCD
7,PROD-S007,Treadmill Running Machine,产品规格,Programs,36 Preset
7,PROD-S007,Treadmill Running Machine,包装清单,Treadmill Unit,
7,PROD-S007,Treadmill Running Machine,包装清单,Console Panel,
7,PROD-S007,Treadmill Running Machine,包装清单,Safety Key,
7,PROD-S007,Treadmill Running Machine,包装清单,Silicone Oil,
7,PROD-S007,Treadmill Running Machine,包装清单,Assembly Kit,
7,PROD-S007,Treadmill Running Machine,包装清单,User Manual,
7,PROD-S007,Treadmill Running Machine,包装清单,Warranty Card,
7,PROD-S007,Treadmill Running Machine,包装清单,Heart Rate Sensor,
24,PROD-S007,Treadmill Running Machine,功能亮点,Speed Control,Key or touch
24,PROD-S007,Treadmill Running Machine,功能亮点,Incline Adjust,Button control
24,PROD-S007,Treadmill Running Machine,功能亮点,Heart Rate,Hand grip sensors
24,PROD-S007,Treadmill Running Machine,功能亮点,Auto Lubrication,Self-maintaining
24,PROD-S007,Treadmill Running Machine,功能亮点,Safety Stop,Emergency button
24,PROD-S007,Treadmill Running Machine,适配尺寸,Folded Size,80 x 70 x 150 CM
24,PROD-S007,Treadmill Running Machine,适配尺寸,Running Belt,120 x 45 CM
24,PROD-S007,Treadmill Running Machine,适配尺寸,Console Height,150 CM